YEAR,MONTH,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2013,1,46.2,29.2,22.7,79,2,40
2013,2,122,30.5,23.2,78,2,70
2013,3,20.5,31.9,23.4,77,2,40
2013,4,42.4,34.4,23.8,75,1,40
2013,5,230.3,33.2,24.9,81,1,40
2013,6,386.1,32.4,24.8,85,1,240
2013,7,285.9,31.6,24.2,85,1,40
2013,8,524.7,30.7,24.2,86,2,240
2013,9,815.8,30.1,24.1,89,1,220
2013,10,121.1,30.7,23.2,83,1,40
2013,11,225.2,30.4,24.3,83,2,40
2013,12,49.1,30.4,24,81,2,40
2014,1,0.5,28.4,20.9,74,3,40
2014,2,0,30.7,20.6,76,2,40
2014,3,28.1,32,22.1,77,2,40
2014,4,22.4,34.1,22.8,76,1,40
2014,5,154.6,35,24.5,80,1,40
2014,6,78.9,33.1,24.7,83,1,240
2014,7,406.7,31.1,24.2,87,2,360
2014,8,212.5,31.9,23.8,84,2,220
2014,9,321.5,31.4,23.6,85,2,40
2014,10,223.5,31.4,23.4,86,2,40
2014,11,43,31.3,23.2,81,2,40
2014,12,326.8,29.3,23.6,83,3,40
2015,1,50.8,28.6,21.6,80,2,40
2015,2,5,30.4,21.1,77,2,40
2015,3,15.2,31.7,21.5,75,2,40
2015,4,0,34,23.4,73,2,40
2015,5,11.7,34.7,24.1,76,1,40
2015,6,159.7,34,24.7,81,1,220
2015,7,309.1,32,24.1,83,2,220
2015,8,265.3,32.3,23.9,85,2,220
2015,9,243.8,32.6,24.2,85,1,40
2015,10,230.2,32.2,23.4,84,2,40
2015,11,43.4,31.8,24.3,82,2,40
2015,12,292.5,30.6,23,83,2,40
2016,1,18.7,31,22.3,82,2,40
2016,2,45.3,30.7,22.5,79,3,40
2016,3,10.2,33.5,22.1,79,2,40
2016,4,8.2,35.8,24.2,75,1,40
2016,5,101.4,35.9,25,78,1,40
2016,6,95.6,34.5,24.6,85,1,220
2016,7,225.5,33.7,24.1,86,1,40
2016,8,375.4,31.8,25,86,2,220
2016,9,167,32.6,24.1,86,1,220
2016,10,312.5,32,23.8,87,1,220
2016,11,162.1,31.5,23.5,85,2,40
2016,12,187.3,31,23.8,84,2,40
2017,1,87.1,29.8,22.9,83,3,40
2017,2,20.2,30.4,21.4,80,3,40
2017,3,19.4,32.3,22.4,77,2,40
2017,4,17.8,34.6,23.8,77,2,40
2017,5,126.6,35.1,25,80,1,220
2017,6,115.8,34.8,24.2,83,1,220
2017,7,254,32.3,24.4,85,1,220
2017,8,375,33,24.1,86,2,220
2017,9,585,32.9,24.1,87,1,220
2017,10,241.7,31.9,24,88,1,40
2017,11,189.7,31.9,24.5,85,2,40
2017,12,183.7,30.3,23.6,84,2,40
2018,1,40.1,30,22.8,82,3,40
2018,2,2.4,31.6,22.9,80,2,40
2018,3,4,32.3,22.8,77,2,40
2018,4,6.02,34.6,23.9,75,2,40
2018,5,131.5,34.9,24.6,79,1,70
2018,6,488.4,32.3,24.1,85,1,70
2018,7,596.2,31.2,24.1,87,2,70
2018,8,160.8,31.7,24.6,84,2,230
2018,9,255.6,32,23.8,86,1,220
2018,10,127.7,32.8,23.3,82,1,40
2018,11,20.3,31.9,23.8,81,2,40
2018,12,286.2,30.1,23.7,84,2,40
2019,1,17.3,29.9,22.3,80,3,40
2019,2,9.1,31,20.7,77,2,40
2019,3,0,33.1,21.9,74,2,40
2019,4,0.2,35,23.6,72,2,40
2019,5,139.2,34.7,24.6,82,1,210
2019,6,150.2,34.9,25.3,81,2,40
2019,7,243.9,32.7,24.1,86,2,240
2019,8,323,31.3,24.9,86,2,240
2019,9,234.6,31.6,24.3,87,2,240
2019,10,38.1,32.9,23.5,82,2,20
2019,11,145.2,31.8,23.8,84,2,40
2019,12,194.1,30.7,23.5,83,2,40
2020,1,-999,-999,-999,-999,-999,-999
2020,2,28.2,30.3,22.3,78,3,40
2020,3,4.4,33.5,23.1,77,2,40
2020,4,3,34.4,24.4,74,2,40
2020,5,114,35.3,25.1,79,2,40
2020,6,124.6,34,24.7,83,1,220
2020,7,255,33.3,24.2,86,1,40
2020,8,173.9,32.5,24.1,86,1,40
2020,9,101.7,33.1,24.3,86,1,220
2020,10,481.3,31.5,24.1,87,2,40
2020,11,424,31.1,23.7,84,2,40
2020,12,149.9,30.6,24.1,85,2,40
2021,1,51.6,29.5,23.4,82,3,40
2021,2,35.1,30.5,22.6,81,2,40
2021,3,43.2,32.5,23.7,80,2,40
2021,4,11.4,33.4,23,77,2,40
2021,5,56.6,35,25.1,76,2,40
2021,6,174.6,33.1,24.3,84,2,360
2021,7,632,31.5,24.9,85,3,220
2021,8,168.4,31.9,24.5,84,2,360
2021,9,295.7,31.9,23.9,85,2,360
2021,10,161,31.4,24.5,83,2,360
2021,11,51.3,31.8,24.3,80,2,40
2021,12,91.4,29.7,23.2,78,3,40
2022,1,15.8,30.1,22.5,78,3,40
2022,2,35.4,30.4,23.5,78,3,40
2022,3,40.8,33.3,24,75,2,40
2022,4,117.6,32.1,24.1,78,2,40
2022,5,284,33.6,24,79,1,360
2022,6,253.5,32.9,24.1,83,1,360
2022,7,199.7,32.4,24.4,84,1,360
2022,8,275.5,31.6,23.9,86,1,360
2022,9,325,31.5,24.1,85,2,360
2022,10,475.7,31.6,24.3,84,2,360
2022,11,79,31.6,24.4,82,2,40
2022,12,116.5,29.8,23.5,82,2,40
2023,1,203.3,28.6,23.2,80,3,40
2023,2,22.7,30.2,23.1,77,3,40
2023,3,0.8,31.8,22.5,70,2,40
2023,4,101.4,33.3,23.7,75,1,40
2023,5,89.8,33.8,25.1,78,2,40
2023,6,252.9,32.8,24.6,82,1,220
2023,7,394.1,32.3,24.7,82,2,220
2023,8,143.7,32.2,25.5,81,3,240
2023,9,163.4,32.5,24.6,84,2,240
2023,10,89.9,31.5,24.5,82,2,40
2023,11,166.6,31.2,24.5,81,2,40
2023,12,127.9,31,24,81,2,40
